Bench mbasis
nbits=30, prime=781683761
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
NEW	7	8	4	4	0.000010

I	8	1	8	8	0.000107
II	8	1	8	8	0.000109
III	8	1	8	8	0.000108
IV	8	1	8	8	0.000140
V	8	1	8	8	0.000128
NEW	8	1	8	8	0.000045

I	1	8	8	8	0.000027
II	1	8	8	8	0.000029
III	1	8	8	8	0.000027
IV	1	8	8	8	0.000033
V	1	8	8	8	0.000033
NEW	1	8	8	8	0.000004

I	8	4	8	8	0.000356
II	8	4	8	8	0.000240
III	8	4	8	8	0.000200
IV	8	4	8	8	0.000191
V	8	4	8	8	0.000198
NEW	8	4	8	8	0.000110

I	4	8	8	8	0.000093
II	4	8	8	8	0.000091
III	4	8	8	8	0.000088
IV	4	8	8	8	0.000109
V	4	8	8	8	0.000105
NEW	4	8	8	8	0.000009

I	8	7	8	8	0.000390
II	8	7	8	8	0.000243
III	8	7	8	8	0.000169
IV	8	7	8	8	0.000168
V	8	7	8	8	0.000204
NEW	8	7	8	8	0.000146

I	7	8	8	8	0.000145
II	7	8	8	8	0.000153
III	7	8	8	8	0.000099
IV	7	8	8	8	0.000114
V	7	8	8	8	0.000158
NEW	7	8	8	8	0.000012

I	8	1	16	16	0.000241
II	8	1	16	16	0.000255
III	8	1	16	16	0.000247
IV	8	1	16	16	0.000425
V	8	1	16	16	0.000400
NEW	8	1	16	16	0.000107

I	1	8	16	16	0.000062
II	1	8	16	16	0.000076
III	1	8	16	16	0.000078
IV	1	8	16	16	0.000108
V	1	8	16	16	0.000091
NEW	1	8	16	16	0.000006

I	8	4	16	16	0.000821
II	8	4	16	16	0.000564
III	8	4	16	16	0.000484
IV	8	4	16	16	0.000542
V	8	4	16	16	0.000544
NEW	8	4	16	16	0.000309

I	4	8	16	16	0.000201
II	4	8	16	16	0.000232
III	4	8	16	16	0.000145
IV	4	8	16	16	0.000176
V	4	8	16	16	0.000284
NEW	4	8	16	16	0.000012

I	8	7	16	16	0.000786
II	8	7	16	16	0.000682
III	8	7	16	16	0.000436
IV	8	7	16	16	0.000466
V	8	7	16	16	0.000636
NEW	8	7	16	16	0.000495

I	7	8	16	16	0.000369
II	7	8	16	16	0.000482
III	7	8	16	16	0.000252
IV	7	8	16	16	0.000308
V	7	8	16	16	0.000492
NEW	7	8	16	16	0.000016

I	8	1	32	32	0.000620
II	8	1	32	32	0.000713
III	8	1	32	32	0.000682
IV	8	1	32	32	0.001388
V	8	1	32	32	0.001286
NEW	8	1	32	32	0.000265

I	1	8	32	32	0.000146
II	1	8	32	32	0.000260
III	1	8	32	32	0.000181
IV	1	8	32	32	0.000269
V	1	8	32	32	0.000274
NEW	1	8	32	32	0.000011

I	8	4	32	32	0.002322
II	8	4	32	32	0.001632
III	8	4	32	32	0.001289
IV	8	4	32	32	0.001652
V	8	4	32	32	0.001812
NEW	8	4	32	32	0.000916

I	4	8	32	32	0.000516
II	4	8	32	32	0.000809
III	4	8	32	32	0.000421
IV	4	8	32	32	0.000558
V	4	8	32	32	0.000849
NEW	4	8	32	32	0.000016

I	8	7	32	32	0.002141
II	8	7	32	32	0.001946
III	8	7	32	32	0.001154
IV	8	7	32	32	0.001411
V	8	7	32	32	0.002061
NEW	8	7	32	32	0.001648

I	7	8	32	32	0.000895
II	7	8	32	32	0.001493
III	7	8	32	32	0.000666
IV	7	8	32	32	0.000933
V	7	8	32	32	0.001693
NEW	7	8	32	32	0.000023

I	8	1	64	64	0.001535
II	8	1	64	64	0.002162
III	8	1	64	64	0.002023
IV	8	1	64	64	0.005107
V	8	1	64	64	0.004744
NEW	8	1	64	64	0.000785

I	1	8	64	64	0.000404
II	1	8	64	64	0.000946
III	1	8	64	64	0.000575
IV	1	8	64	64	0.000885
V	1	8	64	64	0.000912
NEW	1	8	64	64	0.000020

I	8	4	64	64	0.007108
II	8	4	64	64	0.005100
III	8	4	64	64	0.003769
IV	8	4	64	64	0.005743
V	8	4	64	64	0.006565
NEW	8	4	64	64	0.003113

I	4	8	64	64	0.001417
II	4	8	64	64	0.002745
III	4	8	64	64	0.001268
IV	4	8	64	64	0.001837
