Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
32,2040,0.15061834,1.83999270,0.08185812
32,4090,0.32104508,3.93472704,0.08159272
32,8190,0.66668150,8.20758349,0.08122750
32,16380,1.49308903,16.93348631,0.08817375
32,32760,3.48829980,34.14561916,0.10215951
64,30,0.00876238,0.11801011,0.07425106
64,60,0.01741150,0.20918268,0.08323586
64,120,0.03489868,0.42091876,0.08291074
64,250,0.07478639,0.86878037,0.08608204
64,510,0.17149216,1.81402604,0.09453677
64,1020,0.36534519,3.95730249,0.09232178
64,2040,0.78406156,8.06024907,0.09727510
64,4090,1.77876859,16.29425586,0.10916538
64,8190,3.79469939,32.93845600,0.11520575
128,30,0.05604878,0.45738326,0.12254226
128,60,0.10463153,0.91657983,0.11415430
128,120,0.21644780,1.95271296,0.11084466
128,250,0.44923975,4.31554393,0.10409806
128,510,1.07903968,8.85250064,0.12189095
128,1020,2.32146815,17.79370211,0.13046572
128,2040,4.88525559,40.84409165,0.11960740
256,30,0.33697579,1.98060177,0.17013808
256,60,0.67874624,4.23090675,0.16042572
256,120,1.55336145,8.87872039,0.17495330
256,250,3.10075207,20.26316665,0.15302406
256,510,6.87145920,42.24915133,0.16264135
512,30,2.34597691,10.34665497,0.22673772
512,60,4.97866624,21.65073579,0.22995367
512,120,10.00166040,44.77720604,0.22336499
1024,30,16.21367264,52.85493608,0.30675797


Bench polynomial matrix multiplication (normal prime)
p = 538823  (normal prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001481,0.02147389,0.00068958
2,60,0.00003431,0.01228288,0.00279307
2,120,0.00009101,0.01341029,0.00678665
2,250,0.00031648,0.01135687,0.02786658
2,510,0.00038257,0.01604022,0.02385055
2,1020,0.00070035,0.02040520,0.03432232
2,2040,0.00141012,0.02685011,0.05251838
2,4090,0.00283057,0.03797388,0.07453987
2,8190,0.00529221,0.06929331,0.07637410
2,16380,0.00612759,0.13403595,0.04571600
2,32760,0.01251556,0.26143405,0.04787273
2,131070,0.05841256,1.03880940,0.05623029
4,30,0.00005196,0.00801527,0.00648325
4,60,0.00018771,0.01696111,0.01106720
4,120,0.00017007,0.02589094,0.00656878
4,250,0.00027057,0.03803930,0.00711301
4,510,0.00051039,0.03888594,0.01312541
4,1020,0.00101607,0.04586203,0.02215499
4,2040,0.00206120,0.03450083,0.05974344
4,4090,0.00423539,0.06534616,0.06481468
4,8190,0.00864917,0.13050974,0.06627220
4,16380,0.01931290,0.25238889,0.07652039
4,32760,0.04221530,0.50270877,0.08397565
4,131070,0.22400891,2.04252435,0.10967258
8,30,0.00032154,0.04625132,0.00695206
8,60,0.00024714,0.06490820,0.00380755
8,120,0.00044141,0.07833534,0.00563488
8,250,0.00086735,0.08987722,0.00965040
8,510,0.00174940,0.02371170,0.07377795
8,1020,0.00403359,0.04270659,0.09444890
8,2040,0.00757307,0.08123982,0.09321875
8,4090,0.01727853,0.16584147,0.10418705
8,8190,0.04154017,0.32725981,0.12693331
8,16380,0.08997498,0.65685291,0.13697889
