Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,8190,0.00479139,0.09272751,0.05167169
2,16380,0.00792861,0.17362755,0.04566446
2,32760,0.01695676,0.34982485,0.04847213
2,131070,0.08363450,1.36336489,0.06134418
4,30,0.00007391,0.01987528,0.00371874
4,60,0.00014855,0.01340840,0.01107858
4,120,0.00028753,0.01156828,0.02485520
4,250,0.00055824,0.00867138,0.06437743
4,510,0.00122733,0.01351795,0.09079263
4,1020,0.00255083,0.02172091,0.11743671
4,2040,0.00466956,0.04122310,0.11327535
4,4090,0.00782109,0.08051615,0.09713687
4,8190,0.01640997,0.15773828,0.10403288
4,16380,0.03592803,0.31298861,0.11479023
4,32760,0.07831804,0.60661103,0.12910751
4,131070,0.35715036,3.08657974,0.11571072
8,30,0.00019995,0.01665401,0.01200612
8,60,0.00051434,0.01821060,0.02824399
8,120,0.00104317,0.01968145,0.05300255
8,250,0.00266431,0.01969912,0.13525026
8,510,0.00429677,0.02874629,0.14947230
8,1020,0.00729903,0.05226125,0.13966432
8,2040,0.01526756,0.10092980,0.15126914
8,4090,0.03303922,0.19914178,0.16590803
8,8190,0.07591399,0.38397459,0.19770577
8,16380,0.15912698,0.76489030,0.20803896
8,32760,0.32676682,1.88736885,0.17313352
8,131070,1.46471153,7.93286618,0.18463838
16,30,0.00084879,0.02154374,0.03939845
16,60,0.00217594,0.01863681,0.11675487
16,120,0.00431196,0.02848766,0.15136224
16,250,0.00740238,0.05190742,0.14260737
16,510,0.01530113,0.09452789,0.16186894
16,1020,0.03329817,0.17443066,0.19089630
16,2040,0.07740100,0.33725511,0.22950281
16,4090,0.15408373,0.74137597,0.20783481
16,8190,0.32096406,1.52375200,0.21064061
16,16380,0.66361738,3.19763949,0.20753352
16,32760,1.35986384,6.86640548,0.19804596
16,131070,6.21867075,31.79557017,0.19558293
32,30,0.00323180,0.05745522,0.05624896
32,60,0.00663085,0.08468183,0.07830315
32,120,0.01342726,0.12612920,0.10645638
32,250,0.02835944,0.20747486,0.13668857
32,510,0.06291150,0.34711774,0.18123965
32,1020,0.13398888,0.69907553,0.19166582
32,2040,0.28636871,1.47758385,0.19380877
32,4090,0.57996666,3.16641887,0.18316170
32,8190,1.25501511,6.39882211,0.19613221
32,16380,2.62500072,13.02380174,0.20155411
32,32760,5.15814504,26.25974534,0.19642784
64,30,0.01752183,0.32435218,0.05402101
